"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000135052",3009.51363034486,3.41722581392332,0.228217435373614,14.9735527801765,1.09321717218658e-50,2.46083185459198e-46
"ENSG00000145423",21832.838204293,4.14069538044819,0.281923828290714,14.6872841701709,7.77687647779402e-49,8.75287447575717e-45
"ENSG00000119699",3692.48354678747,4.15314569430048,0.302983498548061,13.7074979799327,9.15610750393433e-43,6.87013266378539e-39
"ENSG00000078098",2446.56511543878,3.64344974318805,0.266586445122386,13.6670480058181,1.5974529418337e-42,8.98966643016914e-39
"ENSG00000162745",4690.5484334896,4.08108835268945,0.306783053728277,13.3028480650829,2.22816365267145e-40,1.00311927643269e-36
"ENSG00000184985",678.488872784423,3.40824281595488,0.258825355437961,13.1681179774206,1.33893828613481e-39,5.02325013681577e-36
"ENSG00000136542",631.311446904362,4.50616786427396,0.352903583472575,12.768835668749,2.44788749064134e-37,7.87170677347664e-34
"ENSG00000115414",68289.126135406,4.44180883830284,0.357021196893714,12.441302860864,1.55939400054422e-35,4.38774486903131e-32
"ENSG00000137573",2280.10303486588,4.880504031964,0.394909072691073,12.3585512956343,4.3797871336771e-35,1.09543342643413e-31
"ENSG00000134986",3756.2267889258,3.6915222282927,0.300293142450791,12.2930620332019,9.8695430644221e-35,2.18221792727295e-31
"ENSG00000183715",249.807933677139,5.36840496011217,0.436924427111407,12.2868043693591,1.06638814749011e-34,2.18221792727295e-31
"ENSG00000173114",506.051358151628,5.37555219653878,0.438171517543253,12.268146105613,1.34293019034556e-34,2.51911321538989e-31
"ENSG00000187955",11928.7270702479,3.93370583178511,0.32586898060935,12.0714338149933,1.49506420997947e-33,2.58876118204907e-30
"ENSG00000164294",1689.54253089386,3.11466629908624,0.259286527912575,12.0124494093902,3.05655614658948e-33,4.91450563283779e-30
"ENSG00000164932",5404.25307670892,4.02478591211814,0.342613416224164,11.7473097127195,7.29030237603602e-32,1.0940313765638e-28
"ENSG00000113140",260110.545145009,4.11840686451904,0.354678963293336,11.6116468433255,3.59621786567875e-31,5.05942900977678e-28
"ENSG00000006047",202.964233590705,-3.23039292610009,0.278717574584544,-11.5902017693549,4.62042847133903e-31,6.11799087587303e-28
"ENSG00000186193",344.432263439058,-2.33930779971698,0.20319917223185,-11.5123884316213,1.14269116175351e-30,1.42899878061509e-27
"ENSG00000101115",181.017300958543,4.82039240345946,0.421230462824186,11.4435987633482,2.53161896675108e-30,2.99930226008246e-27
"ENSG00000164692",589426.454614537,4.68157117535429,0.410423661358624,11.4066795268501,3.8723056771127e-30,4.35828003959034e-27
"ENSG00000134013",2459.19738900366,3.471019876922,0.306742654167515,11.31573920276,1.09673995189851e-29,1.17560077701121e-26
"ENSG00000105664",10959.4367231446,5.14516665582692,0.456647741489608,11.2672552349501,1.90413470764036e-29,1.94827601222656e-26
"ENSG00000204262",26497.3699476378,4.93740449055836,0.44007368806689,11.2194948810661,3.27133590415417e-29,3.2016422261961e-26
"ENSG00000183196",394.544122610089,4.50590520681577,0.405471262805467,11.1127609282081,1.0874435597386e-28,1.01993143873816e-25
"ENSG00000113296",3827.45086338261,4.78291318982745,0.43129681168294,11.089609429674,1.40901602422313e-28,1.2686780282105e-25
"ENSG00000106483",4289.14640629915,5.27323533326845,0.478978411926252,11.0093382122624,3.44525063113235e-28,2.98279198872266e-25
"ENSG00000168487",3894.0061706854,3.0862498114393,0.280513871371136,11.002129043936,3.73214629784364e-28,3.11150419127631e-25
"ENSG00000227496",69.4345213065503,4.20871884973738,0.383636595522828,10.9705875269841,5.29273512283529e-28,4.2549809862508e-25
"ENSG00000106819",12518.7270309737,5.08834555793045,0.465606386617863,10.9284273244014,8.42966740991098e-28,6.54316597921021e-25
"ENSG00000104415",818.134955908524,4.07613012887789,0.373358651911133,10.9174653058478,9.51131627893248e-28,7.136657647959e-25
"ENSG00000135547",274.005849896659,3.08872063361606,0.283103542429993,10.9102154183742,1.03011955635665e-27,7.47999716567362e-25
"ENSG00000034971",275.252373433934,-5.330317283701,0.492585824915082,-10.8210935315077,2.73494493291927e-27,1.9238628262504e-24
"ENSG00000151388",704.312293582508,4.13746513331625,0.386400936265238,10.707699555045,9.36602561733643e-27,6.38876474685585e-24
"ENSG00000011422",819.336436818482,2.95613048325973,0.276467360487146,10.6925116876398,1.10341638863234e-26,7.30526556120999e-24
"ENSG00000108821",783312.48932664,5.12195672958866,0.484121840997584,10.5798918698531,3.69384271378134e-26,2.37566855677766e-23
"ENSG00000163359",44036.1402617198,3.8337938750575,0.365578186704729,10.4869327943628,9.91963807975435e-26,6.20252925486862e-23
"ENSG00000168461",3251.49844128702,2.7873908279997,0.265898835440523,10.4828997215492,1.03520112322158e-25,6.2979398064102e-23
"ENSG00000223749",283.756331653188,4.73638366853774,0.453716972789492,10.4390709464053,1.64411846746455e-25,9.73923860595449e-23
"ENSG00000164116",684.600280658105,3.16756784842378,0.304398320635767,10.4059964647899,2.3280749264506e-25,1.32212041837681e-22
"ENSG00000203805",335.063261730918,4.20785509163636,0.404402035212929,10.4051283753327,2.34939212505876e-25,1.32212041837681e-22
"ENSG00000133466",3628.01070676029,4.43958548109929,0.428164971410913,10.3688666227639,3.43575441318569e-25,1.88631297172707e-22
"ENSG00000168542",612394.808830728,4.88649440215493,0.471446295326891,10.3649014757168,3.58127334833286e-25,1.9193919778803e-22
"ENSG00000130635",40463.9470678914,4.54255457498873,0.441170794701431,10.2965895058012,7.30037727196137e-25,3.82166261376396e-22
"ENSG00000225614",1256.68627803771,4.65213384291385,0.452919023374791,10.2714472186438,9.47721386310747e-25,4.84845645587612e-22
"ENSG00000125869",884.283498309742,4.91294493788998,0.480265923948885,10.2296346521825,1.46069388468074e-24,7.30671540981411e-22
"ENSG00000139329",22255.3070406738,3.80533950520951,0.372184326389196,10.2243411003564,1.54273501894348e-24,7.5493402774821e-22
