"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000078098",2446.56511543878,4.77831464759731,0.226222344667761,21.1222045930738,4.97196727839464e-99,1.22494357837809e-94
"ENSG00000135052",3009.51363034486,3.44545363299848,0.192392497195195,17.9084615212559,1.01296917577999e-71,1.24782607918458e-67
"ENSG00000136542",631.311446904362,5.05539742804996,0.298161323188361,16.9552421286253,1.76034703043997e-64,1.44565565963165e-60
"ENSG00000106819",12518.7270309737,6.56424036821117,0.393968210974413,16.6618528738033,2.48214167550797e-62,1.52881311148724e-58
"ENSG00000119699",3692.48354678747,4.16651493622996,0.255572819060021,16.3026528077364,9.44999574202508e-60,4.65639090192544e-56
"ENSG00000183715",249.807933677139,5.96264767114118,0.370070227445227,16.1122058164587,2.09418230911859e-58,8.59906159162577e-55
"ENSG00000183196",394.544122610089,5.53095479160427,0.347619936068333,15.910925173512,5.32211711352765e-57,1.8731571332283e-53
"ENSG00000137573",2280.10303486588,5.21404862731867,0.333288873449457,15.6442325042374,3.63727983453858e-55,1.12014579104409e-51
"ENSG00000115414",68289.126135406,4.58237087596986,0.301715920181279,15.1876999835363,4.26628294128047e-52,1.16787125360363e-48
"ENSG00000227496",69.4345213065503,5.82535931015204,0.388685622633481,14.9873290158849,8.88553163817736e-51,2.18912842969776e-47
"ENSG00000101115",181.017300958543,5.29111091424862,0.354075231023415,14.9434652600671,1.71803832912982e-50,3.84793730134286e-47
"ENSG00000173114",506.051358151628,5.40027370107436,0.364855101237755,14.8011462160024,1.44007502174066e-49,2.95659402588538e-46
"ENSG00000149380",920.525347265044,6.58172113036916,0.448763307307275,14.6663531157697,1.05885078993969e-48,2.00668514705724e-45
"ENSG00000203805",335.063261730918,5.01778672487284,0.344228379004526,14.5769118147196,3.93937913705976e-48,6.93246312855296e-45
"ENSG00000134986",3756.2267889258,3.67534793650678,0.253413791095568,14.503346169983,1.15385064282493e-47,1.89516121915186e-44
"ENSG00000113296",3827.45086338261,5.2656698481929,0.364416278899769,14.4496010553941,2.52142051867807e-47,3.88251483241698e-44
"ENSG00000223749",283.756331653188,5.60085074272703,0.3878629438858,14.4402831748116,2.88653756137208e-47,4.18327211173671e-44
"ENSG00000187955",11928.7270702479,3.92197253222031,0.275281126401313,14.2471537496644,4.66927346380224e-46,6.39093835153866e-43
"ENSG00000162745",4690.5484334896,3.66068936964712,0.258690341316805,14.150854457933,1.84501775613342e-45,2.3924053925189e-42
"ENSG00000011422",819.336436818482,3.29410609414608,0.233215227864516,14.1247470172049,2.67358242598297e-45,3.29345251144712e-42
"ENSG00000034971",275.252373433934,-6.256360454707,0.445501509050524,-14.0434102412826,8.45443488873399e-45,9.9186624930352e-42
"ENSG00000049249",149.066512891184,6.29396250319403,0.454090857523216,13.8605796591539,1.09784091566729e-43,1.22943211996795e-40
"ENSG00000204262",26497.3699476378,5.10472940285169,0.371869156445666,13.7272191424608,6.97600285826871e-43,7.47251227909418e-40
"ENSG00000125869",884.283498309742,5.36871485708582,0.405383975574064,13.2435300371288,4.91817161577412e-40,5.04870808740946e-37
"ENSG00000106809",3463.52868724609,4.72597429289134,0.359292995424627,13.1535386246703,1.62392925926434e-39,1.60034980641982e-36
"ENSG00000174844",111.474159236858,7.57807742734964,0.576400830473498,13.1472354422606,1.76510802982827e-39,1.67257563580304e-36
"ENSG00000164294",1689.54253089386,2.86680134285214,0.218224730188029,13.1369223844704,2.02288116702973e-39,1.84584160415227e-36
"ENSG00000133110",56459.2066409656,5.20412901076064,0.401041067844186,12.9765488575413,1.66202274587863e-38,1.46240194250756e-35
"ENSG00000167105",62.3620957570223,4.46459655472453,0.344425750792376,12.9624354289811,1.99801665296483e-38,1.69741849238257e-35
"ENSG00000184985",678.488872784423,2.77980319965595,0.215018977012333,12.9281760999938,3.12135839924569e-38,2.56336356274053e-35
"ENSG00000106483",4289.14640629915,5.21947414813586,0.404186714041312,12.9135223074215,3.77623944619937e-38,3.00113584632303e-35
"ENSG00000168487",3894.0061706854,3.01495333919227,0.23678792808154,12.7327155721978,3.89067866674599e-37,2.99545782226941e-34
"ENSG00000268941",67.3471368072988,5.99708872059579,0.474383511374348,12.6418574356041,1.24087499305479e-36,9.26407187996695e-34
"ENSG00000134013",2459.19738900366,3.25252049576997,0.258606003601632,12.5771267892926,2.82104732956655e-36,2.04418067819209e-33
"ENSG00000228203",59.8168723330447,4.16972199399068,0.332167218836215,12.5530809710837,3.82338671183415e-36,2.69133652627023e-33
"ENSG00000135547",274.005849896659,2.91995320287335,0.234681201287517,12.4422117615462,1.5417479807716e-35,1.05511236117417e-32
"ENSG00000084636",14469.6435290012,2.75643742925285,0.222722825603927,12.3760886284493,3.52087748062735e-35,2.34442860784367e-32
"ENSG00000138316",1081.93209179097,4.92831237890856,0.399550935540521,12.3346285555343,5.89601889343066e-35,3.82263730203819e-32
"ENSG00000104415",818.134955908524,3.86133369507235,0.313253097924896,12.3265618780828,6.51684366661656e-35,4.11680711319057e-32
"ENSG00000151388",704.312293582508,3.95774332453442,0.323991689680547,12.2155704932948,2.56694477174645e-34,1.58104545853793e-31
