"","LS_K2","LS_K4","LS_K5","LS_K7","NL_K1","NL_K3","NL_K6","Normal_410","Normal_N19","Normal_N1","Normal_N20","Normal_N2","Normal_N3"
"ENSG00000160072",1176,1444,1180,1065,1031,1709,1474,834,1477,1159,935,1442,1315
"ENSG00000279928",0,3,0,0,0,6,0,0,0,0,3,0,0
"ENSG00000228037",7,7,4,8,4,4,6,4,5,7,11,9,0
"ENSG00000142611",32,63,39,39,52,71,56,60,50,103,69,103,65
"ENSG00000284616",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157911",607,573,451,608,766,914,776,1184,842,1481,765,1123,1211
"ENSG00000269896",31,54,54,114,31,104,65,60,81,90,67,104,73
"ENSG00000228463",9,7,12,8,1,12,7,3,6,2,19,8,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224340",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,1,0,0,0,0,0,4,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142655",504,562,390,422,749,762,675,1113,796,1107,387,1039,864
"ENSG00000232596",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149527",1377,2102,701,1373,2054,4643,3845,3892,3093,2334,2222,3708,4090
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171621",956,899,951,1231,1307,1478,1430,2689,1767,2437,1046,2375,2774
"ENSG00000272235",0,0,2,2,0,1,2,0,0,0,0,1,0
"ENSG00000284694",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224387",1,0,0,0,2,0,4,0,1,0,0,0,0
"ENSG00000142583",341,442,188,451,86,183,185,98,207,155,121,162,152
"ENSG00000284674",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116786",3825,3343,3360,3266,3914,4352,3531,5610,4979,6301,2369,5926,5806
"ENSG00000287727",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000286448",1,0,1,0,0,0,1,0,2,0,0,3,0
"ENSG00000284703",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226457",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173614",165,224,266,295,166,317,243,271,394,167,266,131,273
"ENSG00000215720",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233623",0,0,0,4,0,3,0,1,1,0,0,4,0
